,Name,Height,Weight,Position,Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Nation,League,Team
199,Dani Olmo,"179cm / 5'10""",72kg / 159lb,CAM,Right,73,77,82,87,50,57,26,Spain,LALIGA EA SPORTS,FC Barcelona
200,Exequiel Palacios,"178cm / 5'10""",69kg / 152lb,CM,Right,69,76,79,82,82,73,26,Argentina,Bundesliga,Leverkusen
201,Benjamin Pavard,"186cm / 6'1""",81kg / 179lb,CB,Right,75,67,75,75,86,81,28,France,Serie A Enilive,Lombardia FC
202,Lara Prašnikar,"171cm / 5'7""",64kg / 141lb,ST,Right,77,84,69,83,44,79,26,Slovenia,GPFBL,Frankfurt
203,Alba Redondo,"169cm / 5'7""",61kg / 134lb,ST,Right,84,85,70,84,26,64,28,Spain,Liga F,Real Madrid CF
204,Álex Remiro,"192cm / 6'4""",79kg / 174lb,GK,Right,84,79,80,86,42,86,29,Spain,LALIGA EA SPORTS,Real Sociedad
205,Trinity Rodman,"173cm / 5'8""",60kg / 132lb,RM,Right,94,82,78,83,43,83,22,United States,NWSL,Washington Spirit
206,Cristian Romero,"185cm / 6'1""",79kg / 174lb,CB,Right,68,46,59,66,85,81,26,Argentina,Premier League,Spurs
207,Marcel Sabitzer,"178cm / 5'10""",76kg / 168lb,CM,Right,76,84,81,82,75,79,30,Austria,Bundesliga,Borussia Dortmund
208,Georgia Stanway,"162cm / 5'4""",58kg / 128lb,CDM,Right,80,78,80,86,76,75,26,England,GPFBL,FC Bayern München
209,Ella Toone,"163cm / 5'4""",57kg / 126lb,CAM,Right,81,79,78,86,51,65,25,England,Barclays WSL,Manchester Utd
210,Casemiro,"185cm / 6'1""",84kg / 185lb,CDM,Right,38,74,77,69,82,82,33,Brazil,Premier League,Man Utd
211,Guglielmo Vicario,"194cm / 6'4""",76kg / 168lb,GK,Right,84,80,79,87,52,84,28,Italy,Premier League,Spurs
212,Marta,"162cm / 5'4""",56kg / 123lb,CAM,Left,72,82,85,88,44,74,39,Brazil,NWSL,Orlando Pride
213,Glódís Perla Viggósdóttir,"172cm / 5'8""",65kg / 143lb,CB,Right,73,54,68,61,86,81,29,Iceland,GPFBL,FC Bayern München
214,Dušan Vlahović,"190cm / 6'3""",75kg / 165lb,ST,Left,78,84,69,79,29,83,25,Serbia,Serie A Enilive,Juventus
215,Kyle Walker,"183cm / 6'0""",83kg / 183lb,RB,Right,89,64,77,78,79,81,34,England,Premier League,Manchester City
216,Caroline Weir,"173cm / 5'8""",62kg / 137lb,CAM,Left,72,83,84,84,73,69,29,Scotland,Liga F,Real Madrid CF
217,Benjamin White,"185cm / 6'1""",77kg / 170lb,RB,Right,73,35,77,78,83,80,27,England,Premier League,Arsenal
218,Manuela Zinsberger,"177cm / 5'10""",67kg / 148lb,GK,Right,84,77,78,85,46,85,29,Austria,Barclays WSL,Arsenal
219,Marcos Acuña,"172cm / 5'8""",69kg / 152lb,LB,Left,74,74,82,82,80,84,33,Argentina,Libertadores,River Plate
220,Rasheedat Ajibade,"167cm / 5'6""",53kg / 117lb,LW,Right,91,83,74,84,37,76,25,Nigeria,Liga F,Atlético de Madrid
221,Robert Andrich,"186cm / 6'1""",85kg / 187lb,CDM,Right,54,77,76,73,83,83,30,Germany,Bundesliga,Leverkusen
222,Lineth Beerensteyn,"162cm / 5'4""",60kg / 132lb,LW,Right,89,80,72,86,52,75,28,Holland,GPFBL,VfL Wolfsburg
223,Ismaël Bennacer,"175cm / 5'9""",70kg / 154lb,CDM,Left,77,73,82,85,78,75,27,Algeria,Serie A Enilive,Milano FC
224,Domenico Berardi,"183cm / 6'0""",72kg / 159lb,RW,Left,79,81,78,85,36,70,30,Italy,Serie BKT,Sassuolo
225,Mathilde Bourdieu,"165cm / 5'5""",67kg / 148lb,ST,Right,80,84,71,82,36,76,25,France,Arkema PL,Paris FC
226,Klara Bühl,"172cm / 5'8""",65kg / 143lb,LM,Right,83,85,77,83,34,71,24,Germany,GPFBL,FC Bayern München
227,Eduardo Camavinga,"182cm / 6'0""",68kg / 150lb,CM,Left,80,67,81,84,78,80,22,France,LALIGA EA SPORTS,Real Madrid
228,Olga Carmona,"160cm / 5'3""",51kg / 112lb,LB,Left,89,74,77,80,78,73,24,Spain,Liga F,Real Madrid CF
229,Ellie Carpenter,"164cm / 5'5""",60kg / 132lb,RB,Right,81,51,78,77,81,79,24,Australia,Arkema PL,OL
230,Yannick Carrasco,"181cm / 5'11""",73kg / 161lb,LW,Right,88,81,80,85,59,67,31,Belgium,ROSHN Saudi League,Al Shabab
231,Steph Catley,"171cm / 5'7""",60kg / 132lb,LB,Left,85,66,80,78,78,76,31,Australia,Barclays WSL,Arsenal
232,Andreas Christensen,"187cm / 6'2""",82kg / 181lb,CB,Right,67,32,68,71,85,76,28,Denmark,LALIGA EA SPORTS,FC Barcelona
233,Cata Coll,"170cm / 5'7""",68kg / 150lb,GK,Right,81,80,75,89,53,82,23,Spain,Liga F,FC Barcelona
234,Erin Cuthbert,"163cm / 5'4""",60kg / 132lb,CM,Right,79,80,82,82,75,69,26,Scotland,Barclays WSL,Chelsea
235,Stefan de Vrij,"189cm / 6'2""",78kg / 172lb,CB,Right,62,41,65,69,85,75,33,Holland,Serie A Enilive,Lombardia FC
236,Ángel Di María,"180cm / 5'11""",69kg / 152lb,RM,Left,76,80,85,88,48,66,37,Argentina,Liga Portugal,SL Benfica
237,Moussa Diaby,"170cm / 5'7""",67kg / 148lb,RM,Left,95,75,74,86,43,53,25,France,ROSHN Saudi League,Al Ittihad
238,Melchie Dumornay,"160cm / 5'3""",51kg / 112lb,ST,Right,92,83,78,85,59,69,21,Haiti,Arkema PL,OL
239,Damaris Egurrola,"176cm / 5'9""",65kg / 143lb,CM,Left,61,68,82,79,80,82,25,Holland,Arkema PL,OL
240,Youssef En-Nesyri,"188cm / 6'2""",78kg / 172lb,ST,Left,82,82,63,77,36,80,27,Morocco,Trendyol Süper Lig,Fenerbahçe
241,Magdalena Eriksson,"173cm / 5'8""",66kg / 146lb,CB,Left,63,46,72,66,85,81,31,Sweden,GPFBL,FC Bayern München
242,Rafa,"172cm / 5'8""",66kg / 146lb,CAM,Right,93,77,77,86,50,54,31,Portugal,Trendyol Süper Lig,Beşiktaş
243,Jess Fishlock,"157cm / 5'2""",54kg / 119lb,CM,Right,75,81,80,82,74,72,38,Wales,NWSL,Seattle Reign
244,Laura Freigang,"171cm / 5'7""",62kg / 137lb,CAM,Right,83,84,73,82,26,77,27,Germany,GPFBL,Frankfurt
245,Cody Gakpo,"189cm / 6'2""",76kg / 168lb,ST,Right,82,83,78,83,48,75,25,Holland,Premier League,Liverpool
246,Leah Galton,"170cm / 5'7""",61kg / 134lb,LM,Left,73,82,82,82,62,79,30,England,Barclays WSL,Manchester Utd
247,Vanessa Gilles,"174cm / 5'9""",58kg / 128lb,CB,Right,60,38,53,53,86,82,28,Canada,Arkema PL,OL
248,José María Giménez,"185cm / 6'1""",79kg / 174lb,CB,Right,71,46,58,61,85,82,30,Uruguay,LALIGA EA SPORTS,Atlético de Madrid
249,Olivier Giroud,"193cm / 6'4""",91kg / 201lb,ST,Left,45,84,74,75,42,81,38,France,MLS,LAFC
250,Leon Goretzka,"189cm / 6'2""",82kg / 181lb,CM,Right,70,80,80,81,80,85,30,Germany,Bundesliga,FC Bayern München
251,Joško Gvardiol,"185cm / 6'1""",80kg / 176lb,LB,Left,79,69,74,78,83,83,23,Croatia,Premier League,Manchester City
252,Giulia Gwinn,"172cm / 5'8""",58kg / 128lb,RB,Right,82,61,77,84,80,69,25,Germany,GPFBL,FC Bayern München
253,Kai Havertz,"193cm / 6'4""",82kg / 181lb,ST,Left,77,81,80,82,49,72,25,Germany,Premier League,Arsenal
254,Lucas Hernández,"184cm / 6'0""",79kg / 174lb,CB,Left,74,54,72,71,84,78,29,France,Ligue 1 McDonald's,Paris SG
255,Mauro Icardi,"181cm / 5'11""",79kg / 174lb,ST,Right,68,83,71,76,40,75,32,Argentina,Trendyol Süper Lig,Galatasaray
256,Kim Min Jae,"190cm / 6'3""",81kg / 179lb,CB,Right,76,33,57,63,85,83,28,Korea Republic,Bundesliga,FC Bayern München
257,Aubrey Kingsbury,"175cm / 5'9""",65kg / 143lb,GK,Right,84,82,70,84,41,83,33,United States,NWSL,Washington Spirit
258,Ibrahima Konaté,"194cm / 6'4""",95kg / 209lb,CB,Right,75,34,59,68,83,84,25,France,Premier League,Liverpool
259,Teun Koopmeiners,"183cm / 6'0""",77kg / 170lb,CM,Left,66,78,83,78,75,78,27,Holland,Serie A Enilive,Juventus
260,Mateo Kovačić,"177cm / 5'10""",80kg / 176lb,CM,Right,69,67,82,87,71,70,30,Croatia,Premier League,Manchester City
261,Saki Kumagai,"172cm / 5'8""",63kg / 139lb,CM,Right,51,70,77,80,85,78,34,Japan,Calcio A Femminile,Roma
262,Racheal Kundananji,"175cm / 5'9""",65kg / 143lb,LW,Right,91,82,73,85,42,87,24,Zambia,NWSL,Bay FC
263,Konrad Laimer,"180cm / 5'11""",72kg / 159lb,CDM,Right,80,69,77,77,82,78,27,Austria,Bundesliga,FC Bayern München
264,Aymeric Laporte,"189cm / 6'2""",85kg / 187lb,CB,Left,55,50,74,70,85,76,30,Spain,ROSHN Saudi League,Al Nassr
265,Robin Le Normand,"187cm / 6'2""",81kg / 179lb,CB,Right,62,26,54,60,84,79,28,Spain,LALIGA EA SPORTS,Atlético de Madrid
266,Elena Linari,"173cm / 5'8""",65kg / 143lb,CB,Right,72,43,63,68,83,80,30,Italy,Calcio A Femminile,Roma
267,Marcos Llorente,"184cm / 6'0""",74kg / 163lb,RM,Right,89,79,78,80,79,81,30,Spain,LALIGA EA SPORTS,Atlético de Madrid
268,Manuel Locatelli,"185cm / 6'1""",75kg / 165lb,CDM,Right,64,70,80,78,79,80,27,Italy,Serie A Enilive,Juventus
269,Donyell Malen,"176cm / 5'9""",68kg / 150lb,RM,Right,89,81,74,85,35,72,26,Holland,Bundesliga,Borussia Dortmund
270,Lieke Martens van Leer,"170cm / 5'7""",66kg / 146lb,LW,Right,73,83,82,87,44,71,32,Holland,Arkema PL,Paris SG
271,Gabriel Martinelli,"178cm / 5'10""",75kg / 165lb,LW,Right,89,78,75,85,46,72,23,Brazil,Premier League,Arsenal
272,Henrikh Mkhitaryan,"177cm / 5'10""",75kg / 165lb,CM,Right,78,79,82,84,72,77,36,Armenia,Serie A Enilive,Lombardia FC
273,Morata,"190cm / 6'3""",84kg / 185lb,ST,Right,82,81,73,80,31,79,32,Spain,Serie A Enilive,Milano FC
274,Gerard Moreno,"180cm / 5'11""",77kg / 170lb,ST,Left,77,85,77,81,46,72,32,Spain,LALIGA EA SPORTS,Villarreal CF
275,Alyssa Naeher,"173cm / 5'8""",64kg / 141lb,GK,Right,85,81,83,82,46,87,36,United States,NWSL,Chicago Red Stars
276,Yuki Nagasato,"168cm / 5'6""",56kg / 123lb,CM,Right,79,80,81,85,66,73,37,Japan,NWSL,Houston Dash
277,Katharina Naschenweng,"168cm / 5'6""",57kg / 126lb,LB,Left,79,56,77,79,82,74,27,Austria,GPFBL,FC Bayern München
278,Ashleigh Neville,"171cm / 5'7""",64kg / 141lb,LB,Right,76,70,77,77,85,83,31,England,Barclays WSL,Spurs
279,André Onana,"190cm / 6'3""",93kg / 205lb,GK,Right,83,75,87,86,61,79,28,Cameroon,Premier League,Man Utd
280,Willi Orban,"186cm / 6'1""",87kg / 192lb,CB,Right,58,36,56,56,85,78,32,Hungary,Bundesliga,RB Leipzig
281,Gavi,"173cm / 5'8""",70kg / 154lb,CM,Right,76,66,78,85,68,70,20,Spain,LALIGA EA SPORTS,FC Barcelona
282,Parejo,"182cm / 6'0""",74kg / 163lb,CM,Right,52,80,88,78,74,69,35,Spain,LALIGA EA SPORTS,Villarreal CF
283,Lorenzo Pellegrini,"186cm / 6'1""",77kg / 170lb,CAM,Right,79,78,83,83,74,78,28,Italy,Serie A Enilive,AS Roma
284,Pedro Gonçalves,"173cm / 5'8""",77kg / 170lb,LW,Right,78,82,84,84,63,68,26,Portugal,Liga Portugal,Sporting CP
285,Constance Picaud,"180cm / 5'11""",62kg / 137lb,GK,Right,82,79,76,86,47,82,26,France,Arkema PL,FC Fleury 91
286,Jordan Pickford,"185cm / 6'1""",77kg / 170lb,GK,Left,83,78,88,87,53,80,31,England,Premier League,Everton
287,Claudia Pina,"160cm / 5'3""",69kg / 152lb,LW,Right,73,83,82,84,45,69,23,Spain,Liga F,FC Barcelona
288,Nick Pope,"199cm / 6'6""",76kg / 168lb,GK,Right,82,82,75,85,49,82,32,England,Premier League,Newcastle Utd
289,Pedro Porro,"173cm / 5'8""",69kg / 152lb,RB,Right,82,73,80,81,78,77,25,Spain,Premier League,Spurs
290,Ivan Provedel,"192cm / 6'4""",84kg / 185lb,GK,Right,84,79,80,85,42,84,30,Italy,Serie A Enilive,Latium
291,Christian Pulisic,"177cm / 5'10""",69kg / 152lb,RW,Right,88,82,78,86,37,63,26,United States,Serie A Enilive,Milano FC
292,Mayra Ramírez,"178cm / 5'10""",74kg / 163lb,ST,Right,90,83,75,85,33,86,25,Colombia,Barclays WSL,Chelsea
293,David Raya,"183cm / 6'0""",75kg / 165lb,GK,Right,82,81,86,82,57,81,29,Spain,Premier League,Arsenal
294,Koke,"176cm / 5'9""",75kg / 165lb,CDM,Right,69,72,84,79,77,78,33,Spain,LALIGA EA SPORTS,Atlético de Madrid
295,Guido Rodríguez,"185cm / 6'1""",80kg / 176lb,CDM,Right,51,58,72,70,85,80,29,Argentina,Premier League,West Ham
296,Alessio Romagnoli,"185cm / 6'1""",75kg / 165lb,CB,Left,64,40,56,69,85,79,30,Italy,Serie A Enilive,Latium
297,Ashley Sanchez,"163cm / 5'4""",56kg / 123lb,CAM,Right,80,80,79,84,38,70,25,United States,NWSL,NC Courage
298,Ouleymata Sarr,"175cm / 5'9""",61kg / 134lb,ST,Right,90,79,77,83,45,78,29,France,NWSL,Washington Spirit
299,Almuth Schult,"180cm / 5'11""",71kg / 157lb,GK,Right,82,81,82,84,38,85,34,Germany,NWSL,KC Current
300,Xavi Simons,"179cm / 5'10""",61kg / 134lb,CAM,Right,81,77,80,86,61,71,21,Holland,Bundesliga,RB Leipzig
301,Christine Sinclair,"175cm / 5'9""",67kg / 148lb,ST,Right,65,86,83,81,44,82,41,Canada,NWSL,Portland Thorns
302,Douglas Luiz,"175cm / 5'9""",66kg / 146lb,CM,Right,66,78,85,80,75,76,26,Brazil,Serie A Enilive,Juventus
303,Sherida Spitse,"167cm / 5'6""",61kg / 134lb,CDM,Right,66,76,85,73,79,80,34,Holland,Nederland Vrouwen Liga,Ajax
304,Hina Sugita,"161cm / 5'3""",53kg / 117lb,CM,Left,73,79,82,83,73,67,28,Japan,NWSL,Portland Thorns
305,Dušan Tadić,"181cm / 5'11""",76kg / 168lb,LM,Left,64,79,85,81,43,78,36,Serbia,Trendyol Süper Lig,Fenerbahçe
306,Edmond Tapsoba,"192cm / 6'4""",84kg / 185lb,CB,Right,75,54,68,70,85,79,26,Burkina Faso,Bundesliga,Leverkusen
307,Nuno Mendes,"180cm / 5'11""",70kg / 154lb,LB,Left,89,58,76,82,78,76,22,Portugal,Ligue 1 McDonald's,Paris SG
308,Gaëtane Thiney,"170cm / 5'7""",62kg / 137lb,CAM,Right,56,81,84,83,50,72,39,France,Arkema PL,Paris FC
309,Marcus Thuram,"192cm / 6'4""",80kg / 176lb,ST,Right,87,81,77,82,50,84,27,France,Serie A Enilive,Lombardia FC
310,Fikayo Tomori,"185cm / 6'1""",79kg / 174lb,CB,Right,84,40,60,68,85,80,27,England,Serie A Enilive,Milano FC
311,Lucas Torreira,"166cm / 5'5""",60kg / 132lb,CDM,Right,76,69,78,81,81,81,29,Uruguay,Trendyol Süper Lig,Galatasaray
312,Kieran Trippier,"173cm / 5'8""",71kg / 157lb,RB,Right,67,65,85,78,81,72,34,England,Premier League,Newcastle Utd
313,Leandro Trossard,"171cm / 5'7""",67kg / 148lb,LW,Right,82,81,80,85,30,61,30,Belgium,Premier League,Arsenal
314,Viktor Tsygankov,"178cm / 5'10""",72kg / 159lb,RM,Left,85,80,81,82,46,62,27,Ukraine,LALIGA EA SPORTS,Girona FC
315,Lia Wälti,"167cm / 5'6""",56kg / 123lb,CDM,Right,80,62,77,83,81,76,31,Switzerland,Barclays WSL,Arsenal
316,Lynn Williams,"172cm / 5'8""",62kg / 137lb,LW,Right,92,82,76,82,53,75,31,United States,NWSL,NJ/NY Gotham
317,Mattia Zaccagni,"177cm / 5'10""",63kg / 139lb,LW,Right,87,77,75,88,57,66,29,Italy,Serie A Enilive,Latium
318,Duván Zapata,"188cm / 6'2""",92kg / 203lb,ST,Right,73,82,64,78,35,88,33,Colombia,Serie A Enilive,Torino
319,Isco,"176cm / 5'9""",79kg / 174lb,CAM,Right,66,74,82,83,59,59,32,Spain,LALIGA EA SPORTS,Real Betis
320,Joelinton,"186cm / 6'1""",81kg / 179lb,CM,Right,76,72,76,82,81,89,28,Brazil,Premier League,Newcastle Utd
321,Pepê,"173cm / 5'8""",72kg / 159lb,CAM,Right,87,74,75,85,62,62,28,Brazil,Liga Portugal,FC Porto
322,Pierre-Emerick Aubameyang,"187cm / 6'2""",80kg / 176lb,ST,Right,84,83,72,78,35,63,35,Gabon,ROSHN Saudi League,Al Qadisiyah
323,Ramona Bachmann,"162cm / 5'4""",59kg / 130lb,LM,Right,72,81,79,83,53,77,34,Switzerland,NWSL,Houston Dash
324,Leon Bailey,"178cm / 5'10""",77kg / 170lb,RM,Left,90,78,77,86,38,62,27,Jamaica,Premier League,Aston Villa
325,Oliver Baumann,"187cm / 6'2""",82kg / 181lb,GK,Right,81,80,78,83,39,79,34,Germany,Bundesliga,TSG Hoffenheim
326,Luana,"163cm / 5'4""",60kg / 132lb,CM,Right,54,73,81,82,68,66,31,Brazil,NWSL,Orlando Pride
327,Bella Bixby,"183cm / 6'0""",70kg / 154lb,GK,Right,83,79,74,87,42,80,29,United States,NWSL,Portland Thorns
328,Stina Blackstenius,"174cm / 5'9""",65kg / 143lb,ST,Right,83,83,62,81,39,75,29,Sweden,Barclays WSL,Arsenal
329,Barbara Bonansea,"173cm / 5'8""",60kg / 132lb,RW,Right,79,80,76,84,38,74,33,Italy,Calcio A Femminile,Juventus
330,Victor Boniface,"190cm / 6'3""",91kg / 201lb,ST,Right,73,83,66,80,38,82,24,Nigeria,Bundesliga,Leverkusen
331,Sven Botman,"193cm / 6'4""",81kg / 179lb,CB,Left,60,37,63,65,83,83,25,Holland,Premier League,Newcastle Utd
332,Jarrod Bowen,"175cm / 5'9""",70kg / 154lb,RM,Left,77,81,76,81,46,70,28,England,Premier League,West Ham
333,Marcelo Brozović,"181cm / 5'11""",72kg / 159lb,CDM,Right,66,74,79,80,80,80,32,Croatia,ROSHN Saudi League,Al Nassr
334,Annaïg Butel,"167cm / 5'6""",53kg / 117lb,CB,Right,64,42,65,65,84,78,33,France,NWSL,Washington Spirit
335,Moisés Caicedo,"178cm / 5'10""",73kg / 161lb,CDM,Right,75,63,75,78,79,78,23,Ecuador,Premier League,Chelsea
336,Emre Can,"186cm / 6'1""",86kg / 190lb,CDM,Right,77,78,74,76,82,86,31,Germany,Bundesliga,Borussia Dortmund
337,Marco Carnesecchi,"191cm / 6'3""",83kg / 183lb,GK,Right,84,79,71,85,30,83,24,Italy,Serie A Enilive,Bergamo Calcio
338,Rafaelle,"175cm / 5'9""",64kg / 141lb,CB,Left,61,39,68,65,83,80,33,Brazil,NWSL,Orlando Pride
339,Koen Casteels,"197cm / 6'6""",86kg / 190lb,GK,Left,82,79,74,85,45,83,32,Belgium,ROSHN Saudi League,Al Qadisiyah
340,Lucas Paquetá,"180cm / 5'11""",72kg / 159lb,LM,Left,72,77,79,85,69,79,27,Brazil,Premier League,West Ham
341,Daphne Corboz,"157cm / 5'2""",54kg / 119lb,CDM,Right,65,76,83,82,75,77,31,France,Arkema PL,Paris FC
342,Ángel Correa,"171cm / 5'7""",70kg / 154lb,ST,Right,85,84,77,86,50,75,30,Argentina,LALIGA EA SPORTS,Atlético de Madrid
343,Marc Cucurella,"173cm / 5'8""",67kg / 148lb,LB,Left,75,60,80,80,78,76,26,Spain,Premier League,Chelsea
344,Antônia Silva,"170cm / 5'7""",64kg / 141lb,RB,Right,81,48,73,80,80,81,30,Brazil,Liga F,Real Madrid CF
345,Danilo,"184cm / 6'0""",78kg / 172lb,CB,Right,76,67,74,74,84,77,33,Brazil,Serie A Enilive,Juventus
346,Otávio,"171cm / 5'7""",67kg / 148lb,CAM,Right,78,71,81,85,67,74,30,Portugal,ROSHN Saudi League,Al Nassr
347,Kenza Dali,"165cm / 5'5""",61kg / 134lb,CM,Right,72,79,82,85,68,71,33,France,Barclays WSL,Aston Villa
348,Diogo Dalot,"183cm / 6'0""",76kg / 168lb,RB,Right,85,63,77,80,79,79,25,Portugal,Premier League,Man Utd
349,Sergi Darder,"180cm / 5'11""",71kg / 157lb,CM,Right,79,78,82,83,74,77,31,Spain,LALIGA EA SPORTS,RCD Mallorca
350,Alphonso Davies,"185cm / 6'1""",77kg / 170lb,LB,Left,95,66,77,84,72,76,24,Canada,Bundesliga,FC Bayern München
351,Athenea,"160cm / 5'3""",52kg / 115lb,RW,Right,85,78,75,83,24,72,24,Spain,Liga F,Real Madrid CF
352,Giovanni Di Lorenzo,"183cm / 6'0""",82kg / 181lb,RB,Right,83,67,73,76,79,80,31,Italy,Serie A Enilive,SSC Napoli
353,Brahim,"170cm / 5'7""",68kg / 150lb,CAM,Right,85,74,78,85,31,56,25,Morocco,LALIGA EA SPORTS,Real Madrid
354,Vanessa DiBernardo,"163cm / 5'4""",53kg / 117lb,CM,Right,75,76,80,84,65,73,32,United States,NWSL,KC Current
355,Denzel Dumfries,"188cm / 6'2""",80kg / 176lb,RB,Right,83,66,73,74,78,88,28,Holland,Serie A Enilive,Lombardia FC
356,Edin Džeko,"193cm / 6'4""",80kg / 176lb,ST,Right,57,82,73,76,45,76,38,Bosnia and Herzegovina,Trendyol Süper Lig,Fenerbahçe
357,Bethany England,"166cm / 5'5""",59kg / 130lb,ST,Right,66,85,67,77,40,72,30,England,Barclays WSL,Spurs
358,Enzo Fernández,"178cm / 5'10""",78kg / 172lb,CM,Right,69,73,82,80,73,77,24,Argentina,Premier League,Chelsea
359,Nacho Fernández,"180cm / 5'11""",76kg / 168lb,CB,Right,73,37,68,71,82,79,35,Spain,ROSHN Saudi League,Al Qadisiyah
360,Paula Fernández,"167cm / 5'6""",62kg / 137lb,CM,Right,77,74,80,79,80,78,25,Spain,Liga F,Levante UD
361,Gabriel Jesus,"175cm / 5'9""",73kg / 161lb,ST,Right,83,80,75,88,39,77,27,Brazil,Premier League,Arsenal
362,Jorginho,"178cm / 5'10""",68kg / 150lb,CDM,Right,46,67,83,80,73,71,33,Italy,Premier League,Arsenal
363,Adrianna Franch,"175cm / 5'9""",70kg / 154lb,GK,Right,81,80,76,82,39,84,34,United States,NWSL,KC Current
364,Pau Torres,"191cm / 6'3""",80kg / 176lb,CB,Left,70,41,77,70,83,79,28,Spain,Premier League,Aston Villa
365,Niclas Füllkrug,"188cm / 6'2""",83kg / 183lb,ST,Right,63,84,71,75,43,81,32,Germany,Premier League,West Ham
366,Gabriela García,"185cm / 6'1""",68kg / 150lb,CDM,Right,71,82,79,80,78,86,27,Venezuela,Liga F,Atlético de Madrid
367,Gayà,"172cm / 5'8""",66kg / 146lb,LB,Left,81,61,77,79,78,74,29,Spain,LALIGA EA SPORTS,Valencia CF
368,Paulo Gazzaniga,"196cm / 6'5""",90kg / 198lb,GK,Right,82,80,83,81,57,82,33,Argentina,LALIGA EA SPORTS,Girona FC
369,Valentina Giacinti,"170cm / 5'7""",59kg / 130lb,ST,Right,73,81,68,79,29,72,31,Italy,Calcio A Femminile,Roma
370,Matthias Ginter,"189cm / 6'2""",87kg / 192lb,CB,Right,54,59,71,66,85,75,31,Germany,Bundesliga,SC Freiburg
371,Serge Gnabry,"176cm / 5'9""",77kg / 170lb,RM,Right,80,83,78,84,43,66,29,Germany,Bundesliga,FC Bayern München
372,Anthony Gordon,"183cm / 6'0""",72kg / 159lb,LW,Right,91,78,76,81,49,71,24,England,Premier League,Newcastle Utd
373,Théa Gréboval,"168cm / 5'6""",61kg / 134lb,CB,Left,64,60,72,65,83,83,27,France,Arkema PL,Paris FC
374,Giada Greggi,"156cm / 5'1""",50kg / 110lb,CM,Right,84,71,72,83,75,72,25,Italy,Calcio A Femminile,Roma
375,Raphaël Guerreiro,"170cm / 5'7""",71kg / 157lb,LB,Left,63,78,85,88,76,56,31,Portugal,Bundesliga,FC Bayern München
376,Péter Gulácsi,"191cm / 6'3""",86kg / 190lb,GK,Right,82,82,75,81,43,83,34,Hungary,Bundesliga,RB Leipzig
377,Emilie Haavi,"164cm / 5'5""",59kg / 130lb,LW,Right,88,77,80,83,64,69,32,Norway,Calcio A Femminile,Roma
378,Chantal Hagel,"172cm / 5'8""",67kg / 148lb,CM,Left,57,79,78,80,73,81,26,Germany,GPFBL,VfL Wolfsburg
379,Ashley Hatch,"173cm / 5'8""",65kg / 143lb,ST,Right,70,84,73,81,47,69,29,United States,NWSL,Washington Spirit
380,Marina Hegering,"170cm / 5'7""",59kg / 130lb,CB,Right,62,51,64,71,83,78,34,Germany,GPFBL,VfL Wolfsburg
381,Fabinho,"188cm / 6'2""",78kg / 172lb,CDM,Right,58,69,78,77,80,82,31,Brazil,ROSHN Saudi League,Al Ittihad
382,Yangel Herrera,"184cm / 6'0""",77kg / 170lb,CDM,Right,64,77,76,78,80,81,27,Venezuela,LALIGA EA SPORTS,Girona FC
383,Jonas Hofmann,"176cm / 5'9""",72kg / 159lb,CAM,Right,73,79,81,81,64,72,32,Germany,Bundesliga,Leverkusen
384,Sofia Huerta,"170cm / 5'7""",60kg / 132lb,RB,Right,80,57,75,78,77,77,32,United States,NWSL,Seattle Reign
385,Ciro Immobile,"185cm / 6'1""",85kg / 187lb,ST,Right,82,83,67,78,39,73,35,Italy,Trendyol Süper Lig,Beşiktaş
386,Reece James,"179cm / 5'10""",91kg / 201lb,RB,Right,78,72,83,82,82,82,25,England,Premier League,Chelsea
387,Ji So Yun,"161cm / 5'3""",52kg / 115lb,CAM,Right,73,77,81,83,63,60,34,Korea Republic,NWSL,Seattle Reign
388,Sveindís Jane Jónsdóttir,"178cm / 5'10""",63kg / 139lb,RW,Right,92,73,76,81,46,71,23,Iceland,GPFBL,VfL Wolfsburg
389,Boubacar Kamara,"184cm / 6'0""",68kg / 150lb,CDM,Right,66,54,74,75,83,80,25,France,Premier League,Aston Villa
390,Franck Yannick Kessié,"183cm / 6'0""",74kg / 163lb,CDM,Right,79,77,74,79,80,88,28,Côte d'Ivoire,ROSHN Saudi League,Al Ahli
391,Meghan Klingenberg,"158cm / 5'2""",53kg / 117lb,LB,Right,77,54,74,78,82,79,36,United States,NWSL,Portland Thorns
392,Randal Kolo Muani,"187cm / 6'2""",73kg / 161lb,ST,Right,90,80,71,81,38,67,26,France,Ligue 1 McDonald's,Paris SG
393,Filip Kostić,"184cm / 6'0""",84kg / 185lb,LM,Left,85,76,81,81,70,80,32,Serbia,Trendyol Süper Lig,Fenerbahçe
394,Mohammed Kudus,"177cm / 5'10""",70kg / 154lb,RM,Left,90,77,73,86,60,75,24,Ghana,Premier League,West Ham
395,Dejan Kulusevski,"186cm / 6'1""",80kg / 176lb,RM,Left,75,77,80,83,57,80,24,Sweden,Premier League,Spurs
396,Alexandre Lacazette,"175cm / 5'9""",73kg / 161lb,ST,Right,70,84,76,83,44,75,33,France,Ligue 1 McDonald's,OL
